MCC,DESCRIPTION
3215,DAN AIR SERVICES
3216,CUMBERLAND AIRLINES
3217,CSA
3218,CROWN AIR
3219,COPA
3220,COMPANIA FAUCETT
3221,TRANSPORTES AEROS MILITARES ECCUATORANOS
3222,COMMAND AIRWAYS
3223,COMAIR
3226,SKYWAYS AIR
3228,CAYMAN AIRWAYS
3229,SAETA SOCIAEDAD ECUATORIANOS DE TRANSPORTES AEREOS
3231,SASHA SERVICIO AERO DE HONDURAS
3233,CAPITOL AIR
3234,BWIA
3235,BROKWAY AIR
3236,AIR ARABIA AIRLINE
3238,BEMIDJI AIRLINES
3239,BAR HARBOR AIRLINES
3240,BAHAMASAIR
3241,AVIATECA (GUATEMALA)
3242,AVENSA
3243,AUSTRIAN AIR SERVICE
3245,EASYJET AIRLINES
3246,RYANAIR
3247,GOL AIRLINES
3248,TAM AIRLINES
3251,ALOHA AIRLINES
3252,ALM
3253,AMERICA WEST
3254,TRUMP AIRLINE
3256,ALASKA AIRLINES
3259,AMERICAN TRANS AIR
3260,SPIRIT AIRLINES
3261,AIR CHINA
3262,"RENO AIR, INC."
3263,AERO SERVICO CARABOBO
3266,AIR SEYCHELLES
3267,AIR PANAMA
3280,AIR JAMAICA
3282,AIR DJIBOUTI
3284,AERO VIRGIN ISLANDS
3285,AERO PERU
3286,AEROLINEAS NICARAGUENSIS
3287,AERO COACH AVAIATION
3291,ARIANA AFGHAN
3292,CYPRUS AIRWAYS
3293,ECUATORIANA
3294,ETHIOPIAN AIRLINES
3295,KENYA AIRLINES
3296,AIR BERLIN
3297,TAROM ROMANIAN AIR TRANSPORT
3298,AIR MAURITIUS
3299,WIDERO’S FLYVESELSKAP
3300,AZUL AIR
3301,WIZZ AIR
3302,FLYBE LTD
3351,AFFILIATED AUTO RENTAL
3352,AMERICAN INTL RENT-A-CAR
3353,BROOKS RENT-A-CAR
3354,ACTION AUTO RENTAL
3355,SIXT CAR RENTAL
3357,HERTZ RENT-A-CAR
3359,PAYLESS CAR RENTAL
3360,SNAPPY CAR RENTAL
3361,AIRWAYS RENT-A-CAR
3362,ALTRA AUTO RENTAL
3364,AGENCY RENT-A-CAR
3366,BUDGET RENT-A-CAR
3368,HOLIDAY RENT-A-WRECK
3370,RENT-A-WRECK
3374,ACCENT RENT-A-CAR
3376,AJAX RENT-A-CAR
3380,TRIANGLE RENT-A-CAR
3381,EUROP CAR
3385,TROPICAL RENT-A-CAR
3386,SHOWCASE RENTAL CARS
3387,ALAMO RENT-A-CAR
3388,MERCHANTS RENT-A-CAR
3389,AVIS RENT-A-CAR
3390,DOLLAR RENT-A-CAR
3391,EUROPE BY CAR
3393,NATIONAL CAR RENTAL
3394,KEMWELL GROUP RENT-A-CAR
3395,THRIFTY RENT-A-CAR
3396,TILDEN TENT-A-CAR
3398,ECONO-CAR RENT-A-CAR
3400,AUTO HOST COST CAR RENTALS
3405,ENTERPRISE RENT-A-CAR
3409,GENERAL RENT-A-CAR
3412,A-1 RENT-A-CAR
3414,GODFREY NATL RENT-A-CAR
3419,ALPHA RENT-A-CAR
3420,ANSA INTL RENT-A-CAR
3421,ALLSTAE RENT-A-CAR
3423,AVCAR RENT-A-CAR
3425,AUTOMATE RENT-A-CAR
3427,AVON RENT-A-CAR
3428,CAREY RENT-A-CAR
3429,INSURANCE RENT-A-CAR
3430,MAJOR RENT-A-CAR
3431,REPLACEMENT RENT-A-CAR
3432,RESERVE RENT-A-CAR
3433,UGLY DUCKLING RENT-A-CAR
3434,USA RENT-A-CAR
3435,VALUE RENT-A-CAR
3436,AUTOHANSA RENT-A-CAR
3437,CITE RENT-A-CAR
3438,INTERENT RENT-A-CAR
3439,MILLEVILLE RENT-A-CAR
3440,VIA ROUTE RENT-A-CAR
3441,ADVANTAGE RENT-A-CAR
3501,HOLIDAY INN EXPRESS
3502,BEST WESTERN HOTELS
3503,SHERATON HOTELS
3504,HILTON HOTELS
3505,FORTE HOTELS
3506,GOLDEN TULIP HOTELS
3507,FRIENDSHIP INNS
3508,QUALITY INNS
3509,MARRIOTT HOTELS
3510,DAYS INN
3511,ARABELLA HOTELS
3512,INTER-CONTINENTAL HOTELS
3513,WESTIN HOTELS
3514,AMERISUITES
3515,RODEWAY INNS
3516,LA QUINTA MOTOR INNS
3517,AMERICANA HOTELS
3518,SOL HOTELS
3519,PULLMAN INTERNATIONAL HOTELS
3520,MERIDIEN HOTELS
3521,CREST HOTELS (see FORTE HOTELS)
3522,TOKYO HOTEL
3523,PENNSULA HOTEL
3524,WELCOMGROUP HOTELS
3525,DUNFEY HOTELS
3526,PRINCE HOTELS
3527,DOWNTOWNER-PASSPORT HOTEL
3528,RED LION HOTELS
3529,CP HOTELS
3530,RENAISSANCE HOTELS
3531,ASTIR HOTELS
3532,SUN ROUTE HOTELS
3533,HOTEL IBIS
3534,SOUTHERN PACIFIC HOTELS
3535,HILTON INTERNATIONAL
3536,AMFAC HOTELS
3537,ANA HOTEL
3538,CONCORDE HOTELS
3539,SUMMERFIELD SUITES HOTELS
3540,IBEROTEL HOTELS
3541,HOTEL OKURA
3542,ROYAL HOTELS
3543,FOUR SEASONS HOTELS
3544,CIGA HOTELS
3545,SHANGRI-LA INTERNATIONAL
3546,HOTEL SIERRA
3548,HOTELES MELIA
3549,AUBERGE DES GOVERNEURS
3550,REGAL 8 INNS
3551,MIRAGE HOTEL AND CASINO
3552,COAST HOTELS
3553,PARK INNS INTERNATIONAL
3554,PINEHURST RESORT
3555,TREASURE ISLAND HOTEL AND CASINO
3556,BARTON CREEK RESORT
3557,MANHATTAN EAST SUITE HOTELS
3558,JOLLY HOTELS
3559,CANDLEWOOD SUITES
3560,ALADDIN RESORT AND CASINO
3561,GOLDEN NUGGET
3562,COMFORT INNS
3563,JOURNEY’S END MOTLS
3564,SAM’S TOWN HOTEL AND CASINO
3565,RELAX INNS
3566,GARDEN PLACE HOTEL
3567,SOHO GRAND HOTEL
3568,LADBROKE HOTELS
3569,TRIBECA GRAND HOTEL
3570,FORUM HOTELS
3571,GRAND WAILEA RESORT
3572,MIYAKO HOTELS
3573,SANDMAN HOTELS
3574,VENTURE INNS
3575,VAGABOND HOTELS
3576,LA QUINTA RESORT
3577,MANDARIN ORIENTAL HOTEL
3578,FRANKENMUTH BAVARIAN
3579,HOTEL MERCURE
3580,HOTEL DEL CORONADO
3581,DELTA HOTEL
3582,CALIFORNIA HOTEL AND CASINO
3583,SAS HOTELS
3584,PRINCESS HOTELS INTERNATIONAL
3585,HUNGAR HOTELS
3586,SOKOS HOTELS
3587,DORAL HOTELS
3588,HELMSLEY HOTELS
3589,DORAL GOLF RESORT
3590,FAIRMONT HOTELS
3591,SONESTA HOTELS
3592,OMNI HOTELS
3593,CUNARD HOTELS
3594,ARIZONA BILTMORE
3595,HOSPITALITY INTERNATIONAL
3596,WYNN LAS VEGAS
3597,RIVERSIDE RESORT HOTEL AND CASINO
3598,REGENT INTERNATIONAL HOTELS
3599,PANNONIA HOTELS
3600,SADDLEBROOK RESORT TAMPA
3601,TRADEWINDS RESORTS
3602,HUDSON HOTEL
3603,NOAH’S HOTELS
3604,HILTON GARDEN INN
3607,FONTAINEBLEAU RESORTS
3608,GAYLORD OPRYLAND
3609,GAYLORD PALMS
3612,MOVENPICK HOTELS
3613,MICROTEL INNS & SUITES
3614,AMERICINN
3615,TRAVELODGE
3617,AMERICA’S BEST VALUE INN
3618,GREAT WOLF
3619,ALOFT
3620,TELFORD INTERNATIONAL
3621,EXTENDED STAY
3622,MERLIN HOTELS
3623,DORINT HOTELS
3624,LADY LUCK HOTEL AND CASINO
3625,HOTLE UNIVERSALE
3626,PRINCE HOTELS
3627,EXTENDED STAY AMERICA
3628,EXCALIBUR HOTEL AND CASINO
3629,DAN HOTELS
3631,SLEEP INN
3632,THE PHOENICIAN
3633,RANK HOTELS
3634,SWISSOTEL
3635,RESO HOTELS
3636,SAROVA HOTELS
3637,RAMADA INNS
3638,HO JO INN
3639,MOUNT CHARLOTTE THISTLE
3640,HYATT HOTEL
3641,SOFITEL HOTELS
3642,NOVOTEL HOTELS
3643,STEIGENBERGER HOTELS
3644,ECONO LODGES
3645,QUEENS MOAT HOUSES
3646,SWALLOW HOTELS
3647,HUSA HOTELS
3648,DE VERE HOTELS
3649,RADISSON HOTELS
3650,RED ROOK INNS
3651,IMPERIAL LONDON HOTEL
3652,EMBASSY HOTELS
3653,PENTA HOTELS
3654,LOEWS HOTELS
3655,SCANDIC HOTELS
3656,SARA HOTELS
3657,OBEROI HOTELS
3658,OTANI HOTELS
3659,TAJ HOTELS INTERNATIONAL
3660,KNIGHTS INNS
3661,METROPOLE HOTELS
3662,CIRCUS CIRCUS HOTEL AND CASINO
3663,HOTELES EL PRESIDENTS
3664,FLAG INN
3665,HAMPTON INNS
3666,STAKIS HOTELS
3667,LUXOR HOTEL AND CASINO
3668,MARITIM HOTELS
3669,ELDORADO HOTEL AND CASINO
3670,ARCARD HOTELS
3671,ARCTIA HOTELS
3672,CAMPANIEL HOTELS
3673,IBUSZ HOTELS
3674,RANTASIPI HOTELS
3675,INTERHOTEL CEDOK
3676,MONTE CARLO HOTEL AND CASINO
3677,CLIMAT DE FRANCE HOTELS
3678,CUMULUS HOTELS
3679,DANUBIUS HOTEL
3680,HOTEIS OTHAN
3681,ADAMS MARK HOTELS
3682,ALLSTAR INNS
3683,BRADBURY SUITES
3684,BUDGET HOST INNS
3685,BUDGETEL HOTELS
3686,SUISSE CHALETS
3687,CLARION HOTELS
3688,COMPRI HOTELS
3689,CONSORT HOTELS
3690,COURTYARD BY MARRIOTT
3691,DILLION INNS
3692,DOUBLETREE HOTELS
3693,DRURY INNS
3694,ECONOMY INNS OF AMERICA
3695,EMBASSY SUITES
3696,EXEL INNS
3697,FARFIELD HOTELS
3698,HARLEY HOTELS
3699,MIDWAY MOTOR LODGE
3700,MOTEL 6
3701,GUEST QUARTERS (Formally PICKETT SUITE HOTELS)
3702,THE REGISTRY HOTELS
3703,RESIDENCE INNS
3704,ROYCE HOTELS
3705,SANDMAN INNS
3706,SHILO INNS
3707,SHONEY’S  INNS
3708,VIRGIN RIVER HOTEL AND CASINO
3709,SUPER8 MOTELS
3710,THE RITZ CARLTON HOTELS
3711,FLAG INNS (AUSRALIA)
3712,GOLDEN CHAIN HOTEL
3713,QUALITY PACIFIC HOTEL
3714,FOUR SEASONS HOTEL (AUSTRALIA)
3715,FARIFIELD INN
3716,CARLTON HOTELS
3717,CITY LODGE HOTELS
3718,KAROS HOTELS
3719,PROTEA HOTELS
3720,SOUTHERN SUN HOTELS
3721,HILTON CONRAD
3722,WYNDHAM HOTEL AND RESORTS
3723,RICA HOTELS
3724,INER NOR HOTELS
3725,SEAINES PLANATION
3726,RIO SUITES
3727,BROADMOOR HOTEL
3728,BALLY’S HOTEL AND CASINO
3729,JOHN ASCUAGA’S NUGGET
3730,MGM GRAND HOTEL
3731,HARRAH’S HOTELS AND CASINOS
3732,OPRYLAND HOTEL
3733,BOCA RATON RESORT
3734,HARVEY/BRISTOL HOTELS
3735,MASTERS ECONOMY INNS
3736,COLORADO BELLE/EDGEWATER RESORT
3737,RIVIERA HOTEL AND CASINO
3738,TROPICANA RESORT AND CASINO
3739,WOODSIDE HOTELS AND RESORTS
3740,TOWNPLACE SUITES
3741,MILLENIUM BROADWAY HOTEL
3742,CLUB MED
3743,BILTMORE HOTEL AND SUITES
3744,CAREFREE RESORTS
3745,ST. REGIS HOTEL
3746,THE ELIOT HOTEL
3747,CLUBCORP/CLUB RESORTS
3748,WELESLEY INNS
3749,THE BEVERLY HILLS HOTEL
3750,CROWNE PLAZA HOTELS
3751,HOMEWOOD SUITES
3752,PEABODY HOTELS
3753,GREENBRIAR RESORTS
3754,AMELIA ISLAND PLANATION
3755,THE HOMESTEAD
3756,SOUTH SEAS RESORTS
3757,CANYON RANCH
3758,KAHALA MANDARIN ORIENTAL HOTEL
3759,THE ORCHID AT MAUNA LANI
3760,HALEKULANI HOTEL/WAIKIKI PARC
3761,PRIMADONNA HOTEL AND CASINO
3762,WHISKEY PETE’S HOTEL AND CASINO
3763,CHATEAU ELAN WINERY AND RESORT
3764,BEAU RIVAGE HOTEL AND CASINO
3765,BELLAGIO
3766,FREMONT HOTEL AND CASINO
3767,MAIN STREET STATION HOTEL AND CASINO
3768,SILVER STAR HOTEL AND CASINO
3769,STRATOSPHERE HOTEL AND CASINO
3770,SPRINGHILL SUITES
3771,CAESAR’S HOTEL AND CASINO
3772,NEMACOLIN WOODLANDS
3773,THE VENETIAN RESORT HOTEL CASINO
3774,NEW YORK-NEW YORK HOTEL AND CASINO
3775,SANDS RESORT
3776,NEVELE GRAND RESORT AND COUNTRY CLUB
3777,MANDALAY BAY RESORT
3778,FOUR POINTS HOTELS
3779,W HOTELS
3780,DISNEY RESORTS
3781,PATRICIA GRAND RESORT HOTELS
3782,ROSEN HOTELS AND RESORTS
3783,TOWN AND COUNTRY RESORT & CONVENTION CENTER
3784,FIRST HOSPITALITY HOTELS
3785,OUTRIGGER HOTELS AND RESORTS
3786,OHANA HOTELS OF HAWAII
3787,CARIBE ROYALE RESORTS
3788,ALA MOANA HOTEL
3789,SMUGGLER’S NOTCH RESORT
3790,RAFFLES HOTELS
3791,STAYBRIDGE SUITES
3792,CLARIDGE CASINO HOTEL
3793,FLAMINGO HOTELS
3794,GRAND CASINO HOTELS
3795,PARIS LAS VEGAS HOTEL
3796,PEPPERMILL HOTEL CASINO
3797,ATLANTIC CITY HILTON RESORTS
3798,EMBASSY VACATION RESORT
3799,HALE KOA HOTEL
3800,HOMESTEAD SUITES
3801,WILDERNESS HOTEL AND RESORT
3802,THE PALACE HOTEL
3807,ELEMENT
3808,LXR
3811,PREMIER INN
3812,HYATT PLACE
3813,HOTEL INDIGO
3814,THE ROOSEVELT HOTEL NY
3815,NICKELODEON FAMILY SUITES BY HOLIDAY INN
3816,HOME2SUITES
3818,MAINSTAY SUITES
3819,OXFORD SUITES
3820,JUMEIRAH ESSEX HOUSE
3821,CARIBE ROYALE
3822,CROSSLAND
3823,GRAND SIERRA RESORT
3824,ARIA
3825,VDARA
3826,AUTOGRAPH
3827,GALT HOUSE
3828,COSMOPOLITAN OF LAS VEGAS
3829,COUNTRY INN BY CARLSON
3830,PARK PLAZA HOTEL
3831,WALDORF
3832,CURIO HOTELS
3833,CANOPY
3834,BAYMONT INN & SUITES
3835,MASTERS ECONOMY INNS
3836,HAWTHORN BY WYNDHAM
3837,HOSHINO RESORTS
3838,KIMPTON HOTELS
4011,Railroads
4111,"Local and suburban commuter passenger transportation, including ferries"
4112,Passenger railways
4119,Ambulance services
4121,Taxi-cabs and limousines
4131,Bus lines
4214,"Motor freight carriers and trucking — local and long distance, moving and storage companies and local delivery"
4215,Courier services — air and ground and freight forwarders
4225,"Public warehousing and storage — farm products, refrigerated goods and household goods"
4411,Steamships and cruise lines
4457,Boat rentals and leasing
4468,"Marinas, marine service and supplies"
4511,Airlines and air carriers
4582,"Airports, flying fields and airport terminals"
4722,Travel agencies and tour operators
4723,TUI Travel - Germany
4784,Tolls and bridge fees
4789,Transportation services — not elsewhere classified
4812,Telecommunication equipment and telephone sales
4814,"Telecommunication services, including local and long distance calls, credit card calls, calls through use of magnetic stripe reading telephones and faxes"
4815,Monthly summary telephone charges
4816,Computer network/information services
4821,Telegraph services
4829,Wire transfers and money orders
4899,Cable and other pay television services
4900,"Utilities — electric, gas, water and sanitary"
5013,Motor vehicle supplies and new parts
5021,Office and commercial furniture
5039,Construction materials — not elsewhere classified
5044,"Office, photographic, photocopy and microfilm equipment"
5045,"Computers, computer peripheral equipment — not elsewhere classified"
5046,Commercial equipment — not elsewhere classified
5047,Dental/laboratory/medical/ophthalmic hospital equipment and supplies
5051,Metal service centres and offices
5065,Electrical parts and equipment
5072,Hardware equipment and supplies
5074,Plumbing and heating equipment and supplies
5085,Industrial supplies — not elsewhere classified
5094,"Precious stones and metals, watches and jewellery"
5099,Durable goods — not elsewhere classified
5111,"Stationery, office supplies and printing and writing paper"
5122,"Drugs, drug proprietors"
5131,"Piece goods, notions and other dry goods"
5137,"Men’s, women’s and children’s uniforms and commercial clothing"
5139,Commercial footwear
5169,Chemicals and allied products — not elsewhere classified
5172,Petroleum and petroleum products
5192,"Books, periodicals and newspapers"
5193,"Florists’ supplies, nursery stock and flowers"
5198,"Paints, varnishes and supplies"
5199,Non-durable goods — not elsewhere classified
5200,Home supply warehouse outlets
5211,Lumber and building materials outlets
5231,"Glass, paint and wallpaper shops"
5251,Hardware shops
5261,"Lawn and garden supply outlets, including nurseries"
5262,Marketplaces
5271,Mobile home dealers
5300,Wholesale clubs
5309,Duty-free shops
5310,Discount shops
5311,Department stores
5331,Variety stores
5399,Miscellaneous general merchandise
5411,Groceries and supermarkets
5422,Freezer and locker meat provisioners
5441,"Candy, nut and confectionery shops"
5451,Dairies
5462,Bakeries
5499,Miscellaneous food shops — convenience and speciality retail outlets
5511,"Car and truck dealers (new and used) sales, services, repairs, parts and leasing"
5521,"Car and truck dealers (used only) sales, service, repairs, parts and leasing"
5531,Auto and home supply outlets
5532,Automotive tyre outlets
5533,Automotive parts and accessories outlets
5541,Service stations (with or without ancillary services)
5542,Automated fuel dispensers
5551,Boat dealers
5552,Electric Vehicle Charging
5561,"Camper, recreational and utility trailer dealers"
5571,Motorcycle shops and dealers
5592,Motor home dealers
5598,Snowmobile dealers
5599,"Miscellaneous automotive, aircraft and farm equipment dealers — not elsewhere classified"
5611,Men’s and boys’ clothing and accessory shops
5621,Women’s ready-to-wear shops
5631,Women’s accessory and speciality shops
5641,Children’s and infants’ wear shops
5651,Family clothing shops
5655,Sports and riding apparel shops
5661,Shoe shops
5681,Furriers and fur shops
5691,Men’s and women’s clothing shops
5697,"Tailors, seamstresses, mending and alterations"
5698,Wig and toupee shops
5699,Miscellaneous apparel and accessory shops
5712,"Furniture, home furnishings and equipment shops and manufacturers, except appliances"
5713,Floor covering services
5714,"Drapery, window covering and upholstery shops"
5715,Alcoholic beverage wholesalers
5718,"Fireplaces, fireplace screens and accessories shops"
5719,Miscellaneous home furnishing speciality shops
5722,Household appliance shops
5732,Electronics shops
5733,"Music shops — musical instruments, pianos and sheet music"
5734,Computer software outlets
5735,Record shops
5811,Caterers
5812,Eating places and restaurants
5813,"Drinking places (alcoholic beverages) — bars, taverns, night-clubs, cocktail lounges and discothèques"
5814,Fast food restaurants
5815,"Digital Goods Media – Books, Movies, Music"
5816,Digital Goods – Games
5817,Digital Goods – Applications (Excludes Games)
5818,Digital Goods – Large Digital Goods Merchant
5832,"Antique Shops – Sales, Repairs, and Restoration Services"
5912,Drug stores and pharmacies
5921,"Package shops — beer, wine and liquor"
5931,Used merchandise and second-hand shops
5932,"Antique shops — sales, repairs and restoration services"
5933,Pawn shops
5935,Wrecking and salvage yards
5937,Antique reproduction shops
5940,Bicycle shops — sales and service
5941,Sporting goods shops
5942,Bookshops
5943,"Stationery, office and school supply shops"
5944,"Jewellery, watch, clock and silverware shops"
5945,"Hobby, toy and game shops"
5946,Camera and photographic supply shops
5947,"Gift, card, novelty and souvenir shops"
5948,Luggage and leather goods shops
5949,"Sewing, needlework, fabric and piece goods shops"
5950,Glassware and crystal shops
5960,Direct marketing — insurance services
5961,"Mail Order Houses Including Catalog Order Stores, Book/Record Clubs (No longer permitted for U.S. original presentments)"
5962,Telemarketing — travel-related arrangement services
5963,Door-to-door sales
5964,Direct marketing — catalogue merchants
5965,Direct marketing — combination catalogue and retail merchants
5966,Direct marketing — outbound telemarketing merchants
5967,Direct marketing — inbound telemarketing merchants
5968,Direct marketing — continuity/subscription merchants
5969,Direct marketing/direct marketers — not elsewhere classified
5970,Artist supply and craft shops
5971,Art dealers and galleries
5972,Stamp and coin shops
5973,Religious goods and shops
5975,"Hearing aids — sales, service and supplies"
5976,Orthopaedic goods and prosthetic devices
5977,Cosmetic Stores
5978,"Typewriter outlets — sales, service and rentals"
5983,"Fuel dealers — fuel oil, wood, coal and liquefied petroleum"
5992,Florists
5993,Cigar shops and stands
5994,Newsagents and news-stands
5995,"Pet shops, pet food and supplies"
5996,"Swimming pools — sales, supplies and services"
5997,Electric razor outlets — sales and service
5998,Tent and awning shops
5999,Miscellaneous and speciality retail outlets
6010,Financial institutions — manual cash disbursements
6011,Financial institutions — automated cash disbursements
6012,Financial institutions — merchandise and services
6051,"Non-financial institutions — foreign currency, money orders (not wire transfer), scrip and travellers’ checks"
6211,Securities — brokers and dealers
6300,"Insurance sales, underwriting and premiums"
6381,"Insurance Premiums, (no longer valid for first presentment work)"
6399,Insurance - Default
6513,Real Estate Agents and Managers - Rentals
6540,"Non-FI, Stored Value Card Purchase/Load"
7011,"Lodging — hotels, motels and resorts"
7012,Timeshares
7032,Sporting and recreational camps
7033,Trailer parks and camp-sites
7210,"Laundry, cleaning and garment services"
7211,Laundry services — family and commercial
7216,Dry cleaners
7217,Carpet and upholstery cleaning
7221,Photographic studios
7230,Beauty and barber shops
7251,"Shoe repair shops, shoe shine parlours and hat cleaning shops"
7261,Funeral services and crematoriums
7273,Dating and escort services
7276,Tax preparation services
7277,"Counselling services — debt, marriage and personal"
7278,Buying and shopping services and clubs
7296,"Clothing rentals — costumes, uniforms and formal wear"
7297,Massage parlours
7298,Health and beauty spas
7299,Miscellaneous personal services — not elsewhere classified
7311,Advertising services
7321,Consumer credit reporting agencies
7322,Debt collection agencies
7332,Blueprinting and Photocopying Services
7333,"Commercial photography, art and graphics"
7338,"Quick copy, reproduction and blueprinting services"
7339,Stenographic and secretarial support services
7342,Exterminating and disinfecting services
7349,"Cleaning, maintenance and janitorial services"
7361,Employment agencies and temporary help services
7372,"Computer programming, data processing and integrated systems design services"
7375,Information retrieval services
7379,Computer maintenance and repair services — not elsewhere classified
7392,"Management, consulting and public relations services"
7393,"Detective agencies, protective agencies and security services, including armoured cars and guard dogs"
7394,"Equipment, tool, furniture and appliance rentals and leasing"
7395,Photofinishing laboratories and photo developing
7399,Business services — not elsewhere classified
7511,Truck StopIteration
7512,Automobile rentals
7513,Truck and utility trailer rentals
7519,Motor home and recreational vehicle rentals
7523,Parking lots and garages
7531,Automotive body repair shops
7534,Tyre retreading and repair shops
7535,Automotive paint shops
7538,Automotive service shops (non-dealer)
7542,Car washes
7549,Towing services
7622,Electronics repair shops
7623,Air conditioning and refrigeration repair shops
7629,Electrical and small appliance repair shops
7631,"Watch, clock and jewellery repair shops"
7641,"Furniture reupholstery, repair and refinishing"
7692,Welding services
7699,Miscellaneous repair shops and related services
7800,Government-Owned Lotteries (US Region only)
7801,Government Licensed On-Line Casinos (On-Line Gambling) (US Region only)
